Trial,Replicate,IndividualID,FoodDate,Sex,PupationDate,PupalMass,PupationAge,EmergenceDate,EmergenceAge,Ultrasound,Pupated,Emerged
Control,14,8,8/10/17,M,8/22/17,0.2839,12,NA,NA,N,Y,Y
Control,14,9,8/10/17,M,8/21/17,0.3076,11,NA,NA,N,Y,Y
Control,14,10,8/10/17,M,8/21/17,0.3143,11,NA,NA,N,Y,Y
Control,14,15,8/10/17,M,8/22/17,0.3161,12,NA,NA,N,Y,Y
Control,14,16,8/10/17,M,8/22/17,0.3234,12,NA,NA,N,Y,Y
Control,14,19,8/10/17,M,8/22/17,0.3173,12,NA,NA,N,Y,Y
Control,14,21,8/10/17,M,8/22/17,0.3347,12,NA,NA,N,Y,Y
Control,14,22,8/10/17,M,8/22/17,0.3217,12,NA,NA,N,Y,Y
Control,14,24,8/10/17,M,8/21/17,0.3353,11,NA,NA,N,Y,Y
Control,14,25,8/10/17,M,8/21/17,0.3124,11,NA,NA,N,Y,Y
Control,14,26,8/10/17,M,8/22/17,0.2821,12,NA,NA,N,Y,Y
Control,14,27,8/10/17,M,8/21/17,0.3127,11,NA,NA,N,Y,Y
Control,14,28,8/10/17,M,8/21/17,0.314,11,NA,NA,N,Y,Y
Control,14,29,8/10/17,M,8/21/17,0.3284,11,NA,NA,N,Y,Y
Control,14,31,8/10/17,M,8/23/17,0.3686,13,NA,NA,N,Y,Y
Control,14,32,8/10/17,M,8/21/17,0.3216,11,NA,NA,N,Y,Y
Control,14,33,8/10/17,M,8/22/17,0.3285,12,NA,NA,N,Y,Y
Control,14,36,8/10/17,M,8/21/17,0.3235,11,NA,NA,N,Y,Y
Control,14,38,8/10/17,M,8/21/17,0.3173,11,NA,NA,N,Y,Y
Control,14,39,8/10/17,M,8/21/17,0.3435,11,NA,NA,N,Y,Y
Control,14,40,8/10/17,M,8/22/17,0.3084,12,NA,NA,N,Y,Y
Control,14,41,8/10/17,M,8/22/17,0.2983,12,NA,NA,N,Y,Y
Control,14,43,8/10/17,M,8/22/17,0.2913,12,NA,NA,N,Y,Y
Control,14,44,8/10/17,M,8/22/17,0.3171,12,NA,NA,N,Y,Y
Control,14,45,8/10/17,M,8/21/17,0.2955,11,NA,NA,N,Y,Y
Control,14,47,8/10/17,M,8/21/17,0.2894,11,NA,NA,N,Y,Y
Control,14,48,8/10/17,M,8/22/17,0.3424,12,NA,NA,N,Y,Y
Control,14,49,8/10/17,M,8/22/17,0.3259,12,NA,NA,N,Y,Y
Control,14,51,8/10/17,M,8/22/17,0.318,12,NA,NA,N,Y,Y
Control,14,53,8/10/17,M,8/22/17,0.3124,12,NA,NA,N,Y,Y
Control,14,54,8/10/17,M,8/22/17,0.3437,12,NA,NA,N,Y,Y
Control,14,55,8/10/17,M,8/21/17,0.3115,11,NA,NA,N,Y,Y
Control,14,58,8/10/17,M,8/21/17,0.2881,11,NA,NA,N,Y,Y
Control,14,60,8/10/17,M,8/21/17,0.3079,11,NA,NA,N,Y,Y
Control,14,62,8/10/17,M,8/21/17,0.3288,11,NA,NA,N,Y,Y
Control,14,63,8/10/17,M,8/21/17,0.3136,11,NA,NA,N,Y,Y
Control,14,64,8/10/17,M,8/22/17,0.2809,12,NA,NA,N,Y,Y
Control,14,65,8/10/17,M,8/22/17,0.3291,12,NA,NA,N,Y,Y
Control,14,66,8/10/17,M,8/21/17,0.3057,11,NA,NA,N,Y,Y
Control,14,67,8/10/17,M,8/22/17,0.3601,12,NA,NA,N,Y,Y
Control,14,69,8/10/17,M,8/21/17,0.3211,11,NA,NA,N,Y,Y
Control,14,70,8/10/17,M,8/22/17,0.3337,12,NA,NA,N,Y,Y
Control,14,71,8/10/17,M,8/22/17,0.3115,12,NA,NA,N,Y,Y
Control,14,72,8/10/17,M,8/21/17,0.3307,11,NA,NA,N,Y,Y
Control,14,73,8/10/17,M,8/21/17,0.332,11,NA,NA,N,Y,Y
Control,14,77,8/10/17,M,8/22/17,0.3061,12,NA,NA,N,Y,Y
Control,14,78,8/10/17,M,8/22/17,0.3131,12,NA,NA,N,Y,Y
Control,14,79,8/10/17,M,8/21/17,0.3363,11,NA,NA,N,Y,Y
Control,14,81,8/10/17,M,8/21/17,0.3048,11,NA,NA,N,Y,Y
Control,14,82,8/10/17,M,8/21/17,0.3351,11,NA,NA,N,Y,Y
Control,14,83,8/10/17,M,8/22/17,0.3495,12,NA,NA,N,Y,Y
Control,14,84,8/10/17,M,8/21/17,0.3211,11,NA,NA,N,Y,Y
Control,14,89,8/10/17,M,8/21/17,0.3187,11,NA,NA,N,Y,Y
Control,14,93,8/10/17,M,8/21/17,0.2246,11,NA,NA,N,Y,Y
Control,14,94,8/10/17,NA,8/24/17,0.3646,14,NA,NA,N,Y,Y
Control,15,2,8/14/17,DEAD,DEAD,DEAD,DEAD,DEAD,NA,N,N,N
Control,15,14,8/14/17,DEAD,DEAD,DEAD,DEAD,DEAD,NA,N,N,N
Control,15,18,8/14/17,DEAD,DEAD,DEAD,DEAD,DEAD,NA,N,N,N
Control,15,19,8/14/17,DEAD,DEAD,DEAD,DEAD,DEAD,NA,N,N,N
Control,15,25,8/14/17,DEAD,DEAD,DEAD,DEAD,DEAD,NA,N,N,N
Control,15,1,8/14/17,F,8/26/17,0.3607,12,9/4/17,21,N,Y,Y
Control,15,6,8/14/17,F,8/27/17,0.3515,13,9/6/17,23,N,Y,Y
Control,15,7,8/14/17,F,8/25/17,0.2792,11,9/5/17,22,N,Y,Y
Control,15,12,8/14/17,F,8/27/17,0.2636,13,9/6/17,23,N,Y,Y
Control,15,13,8/14/17,F,8/26/17,0.3348,12,9/5/17,22,N,Y,Y
Control,15,16,8/14/17,F,8/26/17,0.3307,12,9/5/17,22,N,Y,Y
Control,15,17,8/14/17,F,8/26/17,0.3257,12,9/4/17,21,N,Y,Y
Control,15,20,8/14/17,F,8/26/17,0.3414,12,9/4/17,21,N,Y,Y
Control,15,21,8/14/17,F,8/25/17,0.2981,11,9/5/17,22,N,Y,Y
Control,15,24,8/14/17,F,8/26/17,0.3445,12,9/5/17,22,N,Y,Y
Control,15,27,8/14/17,F,8/26/17,0.3709,12,9/3/17,20,N,Y,Y
Control,15,29,8/14/17,F,8/26/17,0.3447,12,9/5/17,22,N,Y,Y
Control,15,30,8/14/17,F,8/26/17,0.3127,12,9/5/17,22,N,Y,Y
Control,15,31,8/14/17,F,8/26/17,0.3186,12,9/5/17,22,N,Y,Y
Control,15,32,8/14/17,F,8/27/17,0.3683,13,9/6/17,23,N,Y,Y
Control,15,33,8/14/17,F,8/26/17,0.4034,12,9/6/17,23,N,Y,Y
Control,15,35,8/14/17,F,8/26/17,0.3519,12,9/6/17,23,N,Y,Y
Control,15,37,8/14/17,F,8/25/17,0.2901,11,9/5/17,22,N,Y,Y
Control,15,41,8/14/17,F,8/25/17,0.3196,11,9/5/17,22,N,Y,Y
Control,15,42,8/14/17,F,8/26/17,0.3814,12,9/5/17,22,N,Y,Y
Control,15,43,8/14/17,F,8/26/17,0.3092,12,9/6/17,23,N,Y,Y
Control,15,45,8/14/17,F,8/26/17,0.3712,12,9/6/17,23,N,Y,Y
Control,15,46,8/14/17,F,8/25/17,0.3281,11,9/5/17,22,N,Y,Y
Control,15,47,8/14/17,F,8/26/17,0.4023,12,9/6/17,23,N,Y,Y
Control,15,49,8/14/17,F,8/26/17,0.3681,12,9/6/17,23,N,Y,Y
Control,15,50,8/14/17,F,8/26/17,0.3744,12,9/3/17,20,N,Y,Y
Control,15,51,8/14/17,F,8/25/17,0.3864,11,9/5/17,22,N,Y,Y
Control,15,52,8/14/17,F,8/25/17,0.3303,11,9/5/17,22,N,Y,Y
Control,15,54,8/14/17,F,8/26/17,0.3693,12,9/5/17,22,N,Y,Y
Control,15,55,8/14/17,F,8/26/17,0.3627,12,9/5/17,22,N,Y,Y
Control,15,56,8/14/17,F,8/25/17,0.3015,11,9/5/17,22,N,Y,Y
Control,15,59,8/14/17,F,8/26/17,0.3832,12,9/5/17,22,N,Y,Y
Control,15,61,8/14/17,F,8/26/17,0.3802,12,9/5/17,22,N,Y,Y
Control,15,3,8/14/17,M,8/26/17,0.3385,12,9/6/17,23,N,Y,Y
Control,15,4,8/14/17,M,8/27/17,0.3087,13,9/7/17,24,N,Y,Y
Control,15,5,8/14/17,M,8/26/17,0.3443,12,9/6/17,23,N,Y,Y
Control,15,8,8/14/17,M,8/26/17,0.3726,12,9/6/17,23,N,Y,Y
Control,15,9,8/14/17,M,8/26/17,0.3217,12,9/7/17,24,N,Y,Y
Control,15,10,8/14/17,M,8/27/17,0.3378,13,9/7/17,24,N,Y,Y
Control,15,11,8/14/17,M,8/27/17,0.3007,13,9/7/17,24,N,Y,Y
Control,15,22,8/14/17,M,8/26/17,0.3132,12,9/7/17,24,N,Y,Y
Control,15,23,8/14/17,M,8/26/17,0.3046,12,9/6/17,23,N,Y,Y
Control,15,26,8/14/17,M,8/26/17,0.3213,12,9/4/17,21,N,Y,Y
Control,15,28,8/14/17,M,8/26/17,0.3442,12,9/6/17,23,N,Y,Y
Control,15,34,8/14/17,M,8/26/17,0.3536,12,9/7/17,24,N,Y,Y
Control,15,36,8/14/17,M,8/25/17,0.3538,11,9/6/17,23,N,Y,Y
Control,15,38,8/14/17,M,8/26/17,0.3485,12,9/7/17,24,N,Y,Y
Control,15,39,8/14/17,M,8/26/17,0.3442,12,9/6/17,23,N,Y,Y
Control,15,40,8/14/17,M,8/25/17,0.3091,11,9/6/17,23,N,Y,Y
Control,15,44,8/14/17,M,8/25/17,0.3358,11,9/6/17,23,N,Y,Y
Control,15,48,8/14/17,M,8/25/17,0.3109,11,9/6/17,23,N,Y,Y
Control,15,53,8/14/17,M,8/25/17,0.3597,11,9/6/17,23,N,Y,Y
Control,15,57,8/14/17,M,8/25/17,0.272,11,9/5/17,22,N,Y,Y
Control,15,58,8/14/17,M,8/25/17,0.3411,11,9/6/17,23,N,Y,Y
Control,15,60,8/14/17,M,8/25/17,0.3288,11,9/5/17,22,N,Y,Y
Control,15,62,8/14/17,M,8/25/17,0.361,11,9/6/17,23,N,Y,Y
Control,15,63,8/14/17,M,8/25/17,0.3423,11,9/6/17,23,N,Y,Y
Control,15,64,8/14/17,M,8/25/17,0.3118,11,9/5/17,22,N,Y,Y
Control,15,15,8/14/17,NA,8/28/17,NA,14,9/7/17,24,N,Y,Y
Control,101,1,6/25/19,NA,7/5/19,NA,NA,NA,NA,N,Y,Y
Control,101,2,6/25/19,F,7/5/19,0.3274,10,NA,NA,N,Y,Y
Control,101,3,6/25/19,F,7/5/19,0.327,10,NA,NA,N,Y,Y
Control,101,4,6/25/19,F,7/5/19,0.3213,10,NA,NA,N,Y,Y
Control,101,5,6/25/19,M,7/4/19,0.3441,9,NA,NA,N,Y,Y
Control,101,6,6/25/19,M,7/5/19,0.3645,10,NA,NA,N,Y,Y
Control,101,7,6/25/19,M,7/5/19,0.3398,10,NA,NA,N,Y,Y
Control,101,8,6/25/19,M,7/5/19,0.3209,10,NA,NA,N,Y,Y
Control,101,9,6/25/19,F,7/4/19,0.3394,9,NA,NA,N,Y,Y
Control,101,10,6/25/19,F,7/5/19,0.3298,10,NA,NA,N,Y,Y
Control,101,11,6/25/19,F,7/4/19,0.3041,9,NA,NA,N,Y,Y
Control,101,12,6/26/19,F,7/7/19,0.3115,11,NA,NA,N,Y,Y
Control,101,13,6/26/19,F,7/6/19,0.2545,10,NA,NA,N,Y,Y
Control,101,14,6/26/19,M,7/6/19,0.2965,10,NA,NA,N,Y,Y
Control,101,15,6/26/19,F,7/7/19,0.2954,11,NA,NA,N,Y,Y
Control,101,16,6/26/19,M,7/6/19,0.3221,10,NA,NA,N,Y,Y
Control,101,17,6/26/19,M,7/8/19,NA,12,NA,NA,N,Y,Y
Control,101,18,6/26/19,M,7/6/19,0.3276,10,NA,NA,N,Y,Y
Control,101,19,6/26/19,M,7/6/19,0.3037,10,NA,NA,N,Y,Y
Control,101,20,6/26/19,F,7/7/19,0.3249,11,NA,NA,N,Y,Y
Control,101,21,6/26/19,M,7/6/19,0.3301,10,NA,NA,N,Y,Y
Control,101,22,6/26/19,F,7/7/19,0.3385,11,NA,NA,N,Y,Y
Control,101,23,6/26/19,F,7/6/19,0.3251,10,NA,NA,N,Y,Y
Control,101,24,6/26/19,M,7/6/19,0.3253,10,NA,NA,N,Y,Y
Control,101,25,6/26/19,F,7/7/19,0.3308,11,NA,NA,N,Y,Y
Control,101,26,6/26/19,M,7/6/19,0.3532,10,NA,NA,N,Y,Y
Control,101,27,6/26/19,M,7/7/19,0.3293,11,NA,NA,N,Y,Y
Control,101,28,6/26/19,M,7/6/19,0.2729,10,NA,NA,N,Y,Y
Control,101,29,6/26/19,M,7/6/19,0.2676,10,NA,NA,N,Y,Y
Control,101,30,6/26/19,F,7/7/19,0.3115,11,NA,NA,N,Y,Y
Control,101,31,6/26/19,M,7/7/19,0.2911,11,NA,NA,N,Y,Y
Control,101,32,6/26/19,M,7/6/19,0.3625,10,NA,NA,N,Y,Y
Control,101,33,6/26/19,M,7/6/19,0.2873,10,NA,NA,N,Y,Y
Control,101,34,6/26/19,F,7/7/19,0.3562,11,NA,NA,N,Y,Y
Control,101,35,6/26/19,F,7/7/19,0.3626,11,NA,NA,N,Y,Y
Control,101,36,6/26/19,F,7/6/19,0.289,10,NA,NA,N,Y,Y
Control,101,37,6/26/19,M,7/6/19,0.3021,10,NA,NA,N,Y,Y
Control,101,38,6/26/19,F,7/9/19,0.2804,13,NA,NA,N,Y,Y
Control,101,39,6/26/19,M,7/6/19,0.3099,10,NA,NA,N,Y,Y
Bat Call,1,1,10/31/17,F,11/12/17,0.3608,12,11/25/17,25,Y,Y,Y
Bat Call,1,3,10/31/17,F,11/11/17,0.3928,11,11/23/17,23,Y,Y,Y
Bat Call,1,8,10/31/17,F,11/15/17,0.3943,15,11/27/17,27,Y,Y,Y
Bat Call,1,11,10/31/17,F,11/14/17,0.3882,14,11/26/17,26,Y,Y,Y
Bat Call,1,12,10/31/17,F,11/14/17,0.4218,14,11/26/17,26,Y,Y,Y
Bat Call,1,13,10/31/17,F,11/14/17,0.3682,14,11/26/17,26,Y,Y,Y
Bat Call,1,15,10/31/17,F,11/12/17,0.4118,12,11/24/17,24,Y,Y,Y
Bat Call,1,17,10/31/17,F,11/12/17,0.3752,12,11/24/17,24,Y,Y,Y
Bat Call,1,18,10/31/17,F,11/12/17,0.4022,12,11/24/17,24,Y,Y,Y
Bat Call,1,19,10/31/17,F,11/13/17,0.3585,13,11/24/17,24,Y,Y,Y
Bat Call,1,20,10/31/17,F,11/12/17,0.3796,12,11/24/17,24,Y,Y,Y
Bat Call,1,26,10/31/17,F,11/12/17,0.3342,12,11/24/17,24,Y,Y,Y
Bat Call,1,27,10/31/17,F,11/12/17,0.3489,12,11/24/17,24,Y,Y,Y
Bat Call,1,28,10/31/17,F,11/12/17,0.4212,12,11/24/17,24,Y,Y,Y
Bat Call,1,30,10/31/17,F,11/12/17,0.4075,12,11/24/17,24,Y,Y,Y
